,NAME,G_LEFT_batter_Std,PA_LEFT_batter_Std,AB_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std
164,TREY MANCINI,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
165,MATT CARPENTER,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0
166,JOC PEDERSON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0
167,BRETT GARDNER,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0
168,WILMER FLORES,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.015,0.0
169,JUSTIN TURNER,1,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0
170,DANIEL PALKA,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.014,0.0
171,ALBERT ALMORA,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0
172,JOSE MARTINEZ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
173,MICHAEL REED,3,6,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.011,0.0
