,NAME,G_LEFT_batter_Std,PA_LEFT_batter_Std,AB_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std
15,ELVIS ANDRUS,2,5,5,1,4,3,0,0,1,7,0,0,0,0,0,2,0,20.0,60.0,20.0,0.0,0.6,0.8,0.8,1.4,0.675,1.4
16,JOSE ALTUVE,1,4,4,1,2,0,1,0,1,6,0,0,0,0,0,1,0,25.0,25.0,50.0,0.0,1.0,0.5,0.5,1.5,0.671,1.5
17,JAVIER BAEZ,2,3,2,1,1,0,0,0,1,4,0,1,0,0,0,1,0,50.0,50.0,0.0,0.0,1.5,0.5,0.667,2.0,0.648,1.6666666666666667
18,KOLTEN WONG,2,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.645,1.0
19,TRAVIS SHAW,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.624,0.0
20,DAN VOGELBACH,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.62,0.0
21,WIL MYERS,3,6,5,1,3,2,0,0,1,6,1,1,0,0,0,2,0,25.0,25.0,50.0,0.0,0.6,0.6,0.667,1.2,0.607,1.1666666666666667
22,CHARLIE BLACKMON,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0.0,50.0,50.0,0.0,0.5,0.5,0.5,1.0,0.583,1.0
23,NIKO GOODRUM,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.578,1.0
24,HANSER ALBERTO,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.571,1.0
25,J.D. MARTINEZ,2,6,6,1,3,2,0,0,1,6,1,0,0,0,0,2,0,40.0,20.0,40.0,0.0,0.5,0.5,0.5,1.0,0.569,1.0
26,AARON JUDGE,2,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.569,1.0
27,FREDDY GALVIS,2,4,4,1,3,2,1,0,0,4,0,0,0,0,0,2,0,50.0,25.0,25.0,0.0,0.25,0.75,0.75,1.0,0.567,1.0
28,PETE ALONSO,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.544,1.0
29,DAVID FREITAS,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.526,0.5
30,MICHAEL BRANTLEY,3,6,6,1,3,2,0,0,1,6,1,0,0,0,0,1,0,20.0,40.0,20.0,20.0,0.5,0.5,0.5,1.0,0.52,1.0
31,NICK AHMED,1,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.5,0.5,0.5,1.0,0.516,1.0
32,MARTIN MALDONADO,2,3,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.333,0.333,0.333,0.51,0.3333333333333333
33,CEDRIC MULLINS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.503,1.0
34,CHRISTIAN VAZQUEZ,3,7,7,3,3,1,1,0,1,7,1,0,0,0,0,2,0,50.0,0.0,33.33,16.67,0.571,0.429,0.429,1.0,0.498,1.0
35,PABLO SANDOVAL,2,2,2,0,1,0,1,0,0,2,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.495,1.0
36,XANDER BOGAERTS,2,6,6,1,2,0,1,0,1,6,1,0,0,0,0,1,0,20.0,60.0,20.0,0.0,0.667,0.333,0.333,1.0,0.491,1.0
37,FERNANDO TATIS JR.,3,6,5,1,3,2,1,0,0,4,1,1,0,0,0,0,0,25.0,75.0,0.0,0.0,0.2,0.6,0.667,0.8,0.49,0.8333333333333334
38,CHAD PINDER,2,6,6,1,3,1,2,0,0,5,1,0,0,0,0,0,0,40.0,20.0,40.0,0.0,0.333,0.5,0.5,0.833,0.484,0.8333333333333334
39,MIGUEL ROJAS,2,8,7,1,3,1,2,0,0,5,0,1,0,0,0,3,0,14.29,57.14,28.57,0.0,0.286,0.429,0.5,0.714,0.482,0.75
40,KYLE SCHWARBER,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.447,1.0
41,MARCUS SEMIEN,2,8,7,0,4,4,0,0,0,4,0,1,0,0,0,2,0,0.0,57.14,28.57,14.29,0.0,0.571,0.625,0.571,0.442,0.625
42,GERARDO PARRA,2,5,3,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0.0,66.67,33.33,0.0,0.333,0.333,0.6,0.667,0.438,0.6
43,JORGE SOLER,2,4,4,0,2,1,1,0,0,3,2,0,0,0,0,3,0,50.0,50.0,0.0,0.0,0.25,0.5,0.5,0.75,0.435,0.75
44,DWIGHT SMITH,1,3,3,0,2,2,0,0,0,2,1,0,0,0,0,1,0,0.0,100.0,0.0,0.0,0.0,0.667,0.667,0.667,0.427,0.6666666666666666
45,EDUARDO ESCOBAR,2,4,4,0,2,1,1,0,0,3,2,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.25,0.5,0.5,0.75,0.422,0.75
46,NELSON CRUZ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.417,1.0
47,JAY BRUCE,3,6,5,2,1,0,0,0,1,4,2,1,0,0,0,3,0,66.67,0.0,0.0,33.33,0.6,0.2,0.333,0.8,0.407,0.8333333333333334
48,RYON HEALY,3,7,6,2,2,0,2,0,0,4,2,1,0,0,0,1,0,50.0,0.0,50.0,0.0,0.333,0.333,0.429,0.667,0.401,0.7142857142857143
49,JONATHAN LUCROY,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.5,0.5,0.5,0.396,0.5
50,BEN ZOBRIST,2,3,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.5,0.667,0.5,0.396,0.6666666666666666
51,ADALBERTO MONDESI,2,4,3,1,1,0,0,1,0,3,2,0,0,0,1,0,0,0.0,50.0,50.0,0.0,0.667,0.333,0.333,1.0,0.396,0.75
52,RUSSELL MARTIN,1,3,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.388,0.6666666666666666
53,YULIESKI GURRIEL,3,6,5,0,2,1,1,0,0,3,0,1,0,0,0,0,0,0.0,60.0,40.0,0.0,0.2,0.4,0.5,0.6,0.385,0.6666666666666666
54,DANNY JANSEN,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.5,0.5,0.5,0.383,0.5
55,PABLO LOPEZ,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.5,0.5,0.5,0.38,0.5
56,IAN KINSLER,3,7,7,3,2,0,1,0,1,6,1,0,0,0,0,1,0,16.67,16.67,33.33,33.33,0.571,0.286,0.286,0.857,0.376,0.8571428571428571
57,ALEX GORDON,2,4,1,2,0,0,0,0,0,0,0,1,1,1,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.375,0.25
58,ROBINSON CHIRINOS,3,6,4,1,1,0,1,0,0,2,1,2,0,0,0,0,0,0.0,33.33,33.33,33.33,0.25,0.25,0.5,0.5,0.367,0.6666666666666666
59,MIKE TROUT,1,3,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0.0,33.33,33.33,33.33,0.333,0.333,0.333,0.667,0.364,0.6666666666666666
60,MADISON BUMGARNER,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.5,0.5,0.5,0.356,0.5
61,ROUGNED ODOR,2,6,5,1,2,1,1,0,0,3,2,1,0,0,0,0,0,0.0,0.0,100.0,0.0,0.2,0.4,0.5,0.6,0.345,0.6666666666666666
62,GEORGE SPRINGER,1,5,5,1,1,0,0,0,1,4,2,0,0,0,0,3,0,33.33,0.0,0.0,66.67,0.6,0.2,0.2,0.8,0.344,0.8
63,NOMAR MAZARA,2,6,5,1,1,0,0,0,1,4,1,1,0,0,0,2,0,25.0,50.0,25.0,0.0,0.6,0.2,0.333,0.8,0.344,0.8333333333333334
64,BRANDON CRAWFORD,3,5,5,0,2,1,1,0,0,3,1,0,0,0,0,0,0,0.0,75.0,25.0,0.0,0.2,0.4,0.4,0.6,0.341,0.6
65,MALLEX SMITH,2,4,4,1,1,0,0,1,0,3,1,0,0,0,0,0,0,33.33,33.33,33.33,0.0,0.5,0.25,0.25,0.75,0.341,0.75
66,RAFAEL DEVERS,3,7,7,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0.0,0.143,0.143,0.143,0.338,0.14285714285714285
67,ADAM JONES,2,5,5,1,1,0,0,0,1,4,2,0,0,0,0,1,0,66.67,33.33,0.0,0.0,0.6,0.2,0.2,0.8,0.337,0.8
68,MITCH HANIGER,3,6,4,1,1,1,0,0,0,1,2,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.25,0.5,0.25,0.333,0.3333333333333333
69,STEVEN DUGGAR,3,9,8,0,3,2,1,0,0,4,3,0,1,0,0,0,0,20.0,40.0,40.0,0.0,0.125,0.375,0.444,0.5,0.333,0.4444444444444444
70,STEPHEN PISCOTTY,2,7,6,1,1,0,0,0,1,4,2,1,0,0,0,1,0,75.0,25.0,0.0,0.0,0.5,0.167,0.286,0.667,0.33,0.7142857142857143
71,KHRIS DAVIS,2,7,6,1,1,0,0,0,1,4,1,1,0,0,0,2,0,40.0,20.0,20.0,20.0,0.5,0.167,0.286,0.667,0.329,0.7142857142857143
72,ENRIQUE HERNANDEZ,1,4,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,50.0,50.0,0.0,0.333,0.5,0.333,0.329,0.5
73,DEE GORDON,5,7,7,1,3,3,0,0,0,3,1,0,0,0,0,1,0,16.67,50.0,33.33,0.0,0.0,0.429,0.429,0.429,0.322,0.42857142857142855
74,MARK ZAGUNIS,1,2,2,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0.0,100.0,0.0,0.0,0.5,0.5,0.5,1.0,0.321,1.0
75,ERIC HOSMER,3,7,6,1,2,1,1,0,0,3,1,1,0,0,0,2,0,0.0,60.0,40.0,0.0,0.167,0.333,0.429,0.5,0.321,0.5714285714285714
76,JUSTIN SMOAK,2,6,5,1,2,2,0,0,0,2,1,1,0,0,0,2,0,25.0,50.0,25.0,0.0,0.0,0.4,0.5,0.4,0.321,0.5
77,ANTHONY RIZZO,2,5,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0.0,50.0,50.0,0.0,0.0,0.0,0.6,0.0,0.32,0.6
78,JACK FLAHERTY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
79,TEOSCAR HERNANDEZ,2,4,3,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0.0,100.0,0.0,0.0,0.0,0.333,0.5,0.333,0.309,0.5
80,YONDER ALONSO,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.5,0.0,0.309,0.5
81,JASON HEYWARD,2,4,4,1,2,2,0,0,0,2,0,0,0,0,0,1,0,25.0,50.0,25.0,0.0,0.0,0.5,0.5,0.5,0.306,0.5
82,ELOY JIMENEZ,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.301,0.0
83,ROSS STRIPLING,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0
84,EDUARDO NUNEZ,3,6,6,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0.0,50.0,25.0,25.0,0.167,0.167,0.167,0.333,0.297,0.3333333333333333
85,JUSTIN BOUR,2,4,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.294,0.5
86,EVAN LONGORIA,3,7,6,1,2,2,0,0,0,2,1,1,0,0,0,0,0,20.0,20.0,40.0,20.0,0.0,0.333,0.429,0.333,0.292,0.42857142857142855
87,JORGE POLANCO,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0.0,0.287,0.0
88,TOM MURPHY,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.284,0.5
89,MATT CHAPMAN,2,8,6,1,1,0,1,0,0,2,1,2,0,0,0,0,0,40.0,60.0,0.0,0.0,0.167,0.167,0.375,0.333,0.277,0.5
90,EDDIE ROSARIO,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.5,0.0,0.276,0.5
91,DAVID BOTE,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.271,0.0
92,ERIK KRATZ,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.271,0.5
93,MOOKIE BETTS,3,9,9,1,2,2,0,0,0,2,1,0,0,0,0,0,0,37.5,25.0,25.0,12.5,0.0,0.222,0.222,0.222,0.264,0.2222222222222222
94,ASDRUBAL CABRERA,2,6,6,1,2,1,1,0,0,3,1,0,0,0,0,0,0,0.0,40.0,40.0,20.0,0.167,0.333,0.333,0.5,0.263,0.5
95,JURICKSON PROFAR,2,7,7,1,2,1,1,0,0,3,2,0,0,0,0,0,0,0.0,60.0,0.0,40.0,0.143,0.286,0.286,0.429,0.262,0.42857142857142855
96,JAKE MARISNICK,2,5,4,1,1,1,0,0,0,1,2,1,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.25,0.4,0.25,0.26,0.4
97,ROBINSON CANO,2,3,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0.0,50.0,50.0,0.0,0.0,0.333,0.333,0.333,0.251,0.3333333333333333
98,BILLY HAMILTON,2,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,33.33,66.67,0.0,0.333,0.333,0.333,0.251,0.3333333333333333
99,MARTIN PRADO,2,6,6,2,2,2,0,0,0,2,0,0,0,0,0,0,0,16.67,50.0,16.67,16.67,0.0,0.333,0.333,0.333,0.251,0.3333333333333333
100,ALBERT PUJOLS,1,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,33.33,66.67,0.0,0.0,0.0,0.333,0.333,0.333,0.247,0.3333333333333333
101,CURTIS GRANDERSON,2,5,4,0,1,1,0,0,0,1,0,0,0,1,0,2,0,60.0,40.0,0.0,0.0,0.0,0.25,0.2,0.25,0.246,0.2
102,TYLER WHITE,3,6,6,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0.0,75.0,25.0,0.0,0.0,0.333,0.333,0.333,0.246,0.3333333333333333
103,ISIAH KINER-FALEFA,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.245,0.5
104,BRANDON DRURY,2,5,5,0,1,0,0,1,0,3,3,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.4,0.2,0.2,0.6,0.242,0.6
105,MATT OLSON,2,6,5,1,1,1,0,0,0,1,0,1,0,0,0,0,0,20.0,60.0,20.0,0.0,0.0,0.2,0.333,0.2,0.237,0.3333333333333333
106,WHIT MERRIFIELD,1,3,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.333,0.333,0.333,0.237,0.3333333333333333
107,ANDREW BENINTENDI,3,10,7,1,1,1,0,0,0,1,1,2,0,1,0,2,0,42.86,28.57,14.29,14.29,0.0,0.143,0.3,0.143,0.236,0.3
108,MICHAEL CONFORTO,2,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,33.33,33.33,33.33,0.0,0.333,0.333,0.333,0.235,0.3333333333333333
109,FRANK SCHWINDEL,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.233,0.0
110,JESUS SUCRE,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.333,0.333,0.333,0.225,0.3333333333333333
111,SHIN-SOO CHOO,1,3,3,0,1,1,0,0,0,1,2,0,0,0,0,2,0,0.0,100.0,0.0,0.0,0.0,0.333,0.333,0.333,0.224,0.3333333333333333
112,RICHIE MARTIN,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,66.67,0.0,0.0,33.33,0.0,0.333,0.333,0.333,0.217,0.3333333333333333
113,DOMINGO SANTANA,2,5,5,1,1,0,1,0,0,2,2,0,0,0,0,2,0,33.33,33.33,33.33,0.0,0.2,0.2,0.2,0.4,0.215,0.4
114,RICHARD URENA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0
115,GARRETT COOPER,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.213,0.0
116,JORGE ALFARO,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.333,0.0,0.209,0.0
117,BILLY MCKINNEY,2,3,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0.0,50.0,0.0,50.0,0.0,0.333,0.333,0.333,0.209,0.3333333333333333
118,LUKE MAILE,1,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.333,0.0,0.197,0.3333333333333333
119,MITCH MORELAND,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.333,0.0,0.194,0.3333333333333333
120,JOEY RICKARD,2,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.193,0.3333333333333333
121,ZACK COZART,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.333,0.0,0.193,0.3333333333333333
122,RONALD GUZMAN,2,5,5,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0.0,33.33,66.67,0.0,0.2,0.2,0.2,0.4,0.191,0.4
123,DAVID FREESE,1,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.19,0.3333333333333333
124,BRANDON BELT,2,7,6,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,60.0,40.0,0.0,0.167,0.286,0.167,0.189,0.14285714285714285
125,HUNTER DOZIER,2,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.333,0.0,0.188,0.3333333333333333
126,JONATHAN VILLAR,2,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,25.0,25.0,50.0,0.0,0.25,0.25,0.25,0.179,0.25
127,LEWIS BRINSON,2,6,6,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0.0,60.0,40.0,0.0,0.167,0.167,0.167,0.333,0.173,0.3333333333333333
128,MANUEL MARGOT,2,5,5,1,1,1,0,0,0,1,1,0,0,0,0,2,0,50.0,25.0,25.0,0.0,0.0,0.2,0.2,0.2,0.158,0.2
129,COREY SEAGER,1,4,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.25,0.0,0.152,0.25
130,CODY BELLINGER,1,3,3,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.0,50.0,50.0,0.0,0.0,0.333,0.333,0.333,0.14,0.3333333333333333
131,JOEY GALLO,2,5,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.134,0.2
132,RANDAL GRICHUK,2,5,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.129,0.2
