,Team(s),ID,MLB ID,Pos,Bats,Throws,NAME,NAME_TEAM
467,LAN,102254,628317,P,R,R,KENTA MAEDA,KENTA MAEDA LAN
468,CIN,102652,641816,P,R,R,TYLER MAHLE,TYLER MAHLE CIN
469,DET,65977,543484,CF,R,R,MIKIE MAHTOOK,MIKIE MAHTOOK DET
470,TOR,100036,571912,C,R,R,LUKE MAILE,LUKE MAILE TOR
471,SDN,102255,628318,P,R,R,KAZUHISA MAKITA,KAZUHISA MAKITA SDN
472,ANA,48082,455117,C,R,R,MARTIN MALDONADO,MARTIN MALDONADO ANA
473,OAK,103721,640455,P,R,L,SEAN MANAEA,SEAN MANAEA OAK
474,BAL,102653,641820,LF,R,R,TREY MANCINI,TREY MANCINI BAL
475,SDN,100988,622534,CF,R,R,MANUEL MARGOT,MANUEL MARGOT SDN
476,HOU,66006,545350,RF,R,R,JAKE MARISNICK,JAKE MARISNICK HOU
477,SEA,70466,605357,C,R,R,MICHAEL MARJAMA,MICHAEL MARJAMA SEA
478,ATL,45446,455976,RF,L,L,NICK MARKAKIS,NICK MARKAKIS ATL
479,COL,100273,608566,P,R,R,GERMAN MARQUEZ,GERMAN MARQUEZ COL
480,ARI,70360,571918,SS,R,R,DEVEN MARRERO,DEVEN MARRERO ARI
481,ANA,58420,527043,1B,R,R,JEFRY MARTE,JEFRY MARTE ANA
482,ARI,69790,606466,2B,B,R,KETEL MARTE,KETEL MARTE ARI
483,PIT,56034,516782,LF,R,R,STARLING MARTE,STARLING MARTE PIT
484,TEX,54159,455119,P,R,R,CHRIS MARTIN,CHRIS MARTIN TEX
485,DET,54187,547982,CF,L,R,LEONYS MARTIN,LEONYS MARTIN DET
486,TOR,45447,431145,C,R,R,RUSSELL MARTIN,RUSSELL MARTIN TOR
487,SLN,67219,593372,P,R,R,CARLOS MARTINEZ,CARLOS MARTINEZ SLN
488,BOS,59275,502110,LF,R,R,J.D. MARTINEZ,J.D. MARTINEZ BOS
489,SLN,51656,500874,1B,R,R,JOSE MARTINEZ,JOSE MARTINEZ SLN
490,DET,1105,400121,DH,B,R,VICTOR MARTINEZ,VICTOR MARTINEZ DET
491,ARI,31602,425772,C,R,R,JEFF MATHIS,JEFF MATHIS ARI
492,SDN,106414,664208,P,R,R,PHIL MATON,PHIL MATON SDN
493,NYN,99821,571927,P,R,L,STEVEN MATZ,STEVEN MATZ NYN
494,MIN,31759,408045,1B,L,R,JOE MAUER,JOE MAUER MIN
495,KCA,58933,543506,P,R,R,BRANDON MAURER,BRANDON MAURER KCA
496,OAK,100767,622194,C,L,R,BRUCE MAXWELL,BRUCE MAXWELL OAK
497,MIA,51988,457727,CF,R,R,CAMERON MAYBIN,CAMERON MAYBIN MIA
498,SLN,102051,594577,P,R,R,MIKE MAYERS,MIKE MAYERS SLN
499,TOR,102658,641835,P,L,L,TIM MAYZA,TIM MAYZA TOR
500,TEX,100279,608577,RF,L,L,NOMAR MAZARA,NOMAR MAZARA TEX
501,CLE,50118,502083,P,R,R,ZACH MCALLISTER,ZACH MCALLISTER CLE
502,HOU,45449,435263,C,L,R,BRIAN MCCANN,BRIAN MCCANN HOU
503,DET,70317,543510,C,R,R,JAMES MCCANN,JAMES MCCANN DET
504,ATL,45558,435221,P,R,R,BRANDON MCCARTHY,BRANDON MCCARTHY ATL
505,KCA,102659,641838,P,R,R,KEVIN MCCARTHY,KEVIN MCCARTHY KCA
506,HOU,100521,621121,P,L,R,LANCE MCCULLERS,LANCE MCCULLERS HOU
507,SFN,46400,457705,CF,R,R,ANDREW MCCUTCHEN,ANDREW MCCUTCHEN SFN
508,ARI,58436,519008,P,L,L,T.J. MCFARLAND,T.J. MCFARLAND ARI
509,COL,48219,459429,P,L,L,JAKE MCGEE,JAKE MCGEE COL
510,SDN,105163,657681,P,L,L,KYLE MCGRATH,KYLE MCGRATH SDN
511,HOU,58441,543521,P,R,R,COLLIN MCHUGH,COLLIN MCHUGH HOU
512,NYA,102667,641856,RF,L,L,BILLY MCKINNEY,BILLY MCKINNEY NYA
513,COL,102668,641857,1B,L,R,RYAN MCMAHON,RYAN MCMAHON COL
514,OAK,105384,596043,P,R,R,DANIEL MENGDEN,DANIEL MENGDEN OAK
515,PIT,58450,474568,SS,R,R,JORDY MERCER,JORDY MERCER PIT
516,KCA,67175,593160,2B,R,R,WHIT MERRIFIELD,WHIT MERRIFIELD KCA
517,CIN,56104,519023,C,R,R,DEVIN MESORACO,DEVIN MESORACO CIN
518,ANA,102675,641871,P,R,R,KEYNAN MIDDLETON,KEYNAN MIDDLETON ANA
519,SLN,60625,571945,P,R,R,MILES MIKOLAS,MILES MIKOLAS SLN
520,CLE,49617,453192,P,L,L,ANDREW MILLER,ANDREW MILLER CLE
521,TBA,65980,543543,SS,L,R,BRAD MILLER,BRAD MILLER TBA
522,PHI,70361,571948,P,L,L,HOBY MILNER,HOBY MILNER PHI
523,CHA,60317,573668,P,R,R,JUAN MINAYA,JUAN MINAYA CHA
524,TEX,59266,501985,P,R,L,MIKE MINOR,MIKE MINOR TEX
525,ATL,108235,621345,P,L,L,A.J. MINTER,A.J. MINTER ATL
526,SEA,106487,664641,P,L,L,ARIEL MIRANDA,ARIEL MIRANDA SEA
527,SDN,66570,571951,P,L,R,BRYAN MITCHELL,BRYAN MITCHELL SDN
528,SLN,31391,425877,C,R,R,YADIER MOLINA,YADIER MOLINA SLN
529,CHA,105432,660162,2B,B,R,YOAN MONCADA,YOAN MONCADA CHA
530,WAS,39835,471083,C,L,R,MIGUEL MONTERO,MIGUEL MONTERO WAS
531,NYA,104855,656756,P,L,L,JORDAN MONTGOMERY,JORDAN MONTGOMERY NYA
532,CHN,58857,543557,P,L,L,MIKE MONTGOMERY,MIKE MONTGOMERY CHN
533,TEX,57473,519043,P,L,L,MATT MOORE,MATT MOORE TEX
534,TOR,45379,434778,DH,B,R,KENDRYS MORALES,KENDRYS MORALES TOR
535,PIT,102040,592567,3B,L,R,COLIN MORAN,COLIN MORAN PIT
536,BOS,57476,519048,DH,L,L,MITCH MORELAND,MITCH MORELAND BOS
537,PHI,70472,605388,P,L,L,ADAM MORGAN,ADAM MORGAN PHI
538,PIT,100663,621559,2B,B,R,MAX MOROFF,MAX MOROFF PIT
539,SFN,69826,606625,P,R,R,REYES MORONTA,REYES MORONTA SFN
540,ANA,67057,592570,P,R,R,AKEEL MORRIS,AKEEL MORRIS ANA
541,MIN,51804,489149,1B,L,L,LOGAN MORRISON,LOGAN MORRISON MIN
542,CHN,52232,453344,P,R,R,BRANDON MORROW,BRANDON MORROW CHN
543,HOU,48258,450203,P,R,R,CHARLIE MORTON,CHARLIE MORTON HOU
544,SEA,69304,600301,SS,R,R,TAYLOR MOTTER,TAYLOR MOTTER SEA
545,KCA,57478,519058,3B,L,R,MIKE MOUSTAKAS,MIKE MOUSTAKAS KCA
546,MIN,100857,622382,P,L,L,GABRIEL MOYA,GABRIEL MOYA MIN
547,ATL,49614,493247,P,R,R,PETER MOYLAN,PETER MOYLAN ATL
548,LAN,100007,571970,3B,L,R,MAX MUNCY,MAX MUNCY LAN
549,SLN,100748,622168,3B,R,R,YAIRO MUNOZ,YAIRO MUNOZ SLN
550,ARI,60633,571974,C,R,R,JOHN RYAN MURPHY,JOHN RYAN MURPHY ARI
551,SDN,60635,571976,RF,R,R,WIL MYERS,WIL MYERS SDN
552,CLE,70362,571980,CF,L,R,TYLER NAQUIN,TYLER NAQUIN CLE
553,CHA,66068,553882,C,L,R,OMAR NARVAEZ,OMAR NARVAEZ CHA
554,CHN,56991,519068,1B,L,L,EFREN NAVARRO,EFREN NAVARRO CHN
555,LAN,67829,594943,P,R,R,ZACHARY NEAL,ZACHARY NEAL LAN
556,PHI,67355,593576,P,R,R,HECTOR NERIS,HECTOR NERIS PHI
557,PIT,68132,596720,P,R,R,DOVYDAS NEVERAUSKAS,DOVYDAS NEVERAUSKAS PIT
558,ATL,104863,656794,P,L,L,SEAN NEWCOMB,SEAN NEWCOMB ATL
559,TOR,59480,547912,SS,R,R,GIFT NGOEPE,GIFT NGOEPE TOR
560,SEA,57000,504379,P,R,R,JUAN NICASIO,JUAN NICASIO SEA
561,NYN,100653,621512,C,R,R,TOMAS NIDO,TOMAS NIDO NYN
562,NYN,70524,607043,CF,L,R,BRANDON NIMMO,BRANDON NIMMO NYN
563,PHI,70943,605400,P,R,R,AARON NOLA,AARON NOLA PHI
564,SLN,50098,502032,P,R,R,BUD NORRIS,BUD NORRIS SLN
565,DET,70778,596057,P,L,L,DANIEL NORRIS,DANIEL NORRIS DET
566,MIL,102700,641924,C,R,R,JACOB NOTTINGHAM,JACOB NOTTINGHAM MIL
567,PIT,49832,467100,P,R,R,IVAN NOVA,IVAN NOVA PIT
568,BOS,48318,456488,SS,R,R,EDUARDO NUNEZ,EDUARDO NUNEZ BOS
569,TEX,69321,600524,LF,R,R,RENATO NUNEZ,RENATO NUNEZ TEX
570,BAL,50555,503285,P,R,R,DARREN O'DAY,DARREN O'DAY BAL
571,MIA,100780,622217,P,R,L,CHRIS O'GRADY,CHRIS O'GRADY MIA
572,COL,101264,623184,P,R,R,SCOTT OBERG,SCOTT OBERG COL
573,TEX,69270,596059,2B,L,R,ROUGNED ODOR,ROUGNED ODOR TEX
574,MIN,58507,543606,P,R,R,JAKE ODORIZZI,JAKE ODORIZZI MIN
575,TOR,51354,493200,P,R,R,SEUNG HWAN OH,SEUNG HWAN OH TOR
576,ANA,111306,660271,P,L,R,SHOHEI OHTANI,SHOHEI OHTANI ANA
577,OAK,100668,621566,1B,L,R,MATT OLSON,MATT OLSON OAK
578,CLE,102149,621397,P,R,L,TYLER OLSON,TYLER OLSON CLE
579,KCA,52285,449181,RF,R,R,PAULO ORLANDO,PAULO ORLANDO KCA
580,SFN,68643,592612,P,L,L,JOSH OSICH,JOSH OSICH SFN
581,TOR,68997,532077,P,R,R,ROBERTO OSUNA,ROBERTO OSUNA TOR
582,CLE,57047,519096,P,R,R,DAN OTERO,DAN OTERO CLE
583,COL,51434,493603,P,B,R,ADAM OTTAVINO,ADAM OTTAVINO COL
584,ARI,60931,572008,SS,R,R,CHRIS OWINGS,CHRIS OWINGS ARI
585,SLN,59145,542303,CF,R,R,MARCELL OZUNA,MARCELL OZUNA SLN
586,OAK,102705,641941,P,L,R,EMILIO PAGAN,EMILIO PAGAN OAK
587,SFN,69564,605412,2B,L,R,JOE PANIK,JOE PANIK SFN
588,ANA,100742,622161,P,R,R,EDUARDO PAREDES,EDUARDO PAREDES ANA
589,ANA,51962,453284,P,R,R,BLAKE PARKER,BLAKE PARKER ANA
590,COL,49890,467827,RF,L,L,GERARDO PARRA,GERARDO PARRA COL
591,SEA,68467,572020,P,L,L,JAMES PAXTON,JAMES PAXTON SEA
592,SEA,99999,572021,P,R,L,JAMES PAZOS,JAMES PAZOS SEA
593,HOU,57086,502748,P,R,R,BRAD PEACOCK,BRAD PEACOCK HOU
594,TOR,48428,456665,1B,R,R,STEVE PEARCE,STEVE PEARCE TOR
595,LAN,67072,592626,PH,L,L,JOC PEDERSON,JOC PEDERSON LAN
596,ANA,66234,570240,P,R,R,FELIX PENA,FELIX PENA ANA
597,SLN,57096,506747,C,R,R,FRANCISCO PENA,FRANCISCO PENA SLN
598,SFN,45465,452254,RF,R,R,HUNTER PENCE,HUNTER PENCE SFN
599,CIN,48486,460060,SS,B,R,CLIFF PENNINGTON,CLIFF PENNINGTON CIN
600,ARI,52260,444482,RF,L,L,DAVID PERALTA,DAVID PERALTA ARI
601,CIN,67604,593974,P,L,L,WANDY PERALTA,WANDY PERALTA CIN
602,CIN,69752,606299,SS,R,R,JOSE PERAZA,JOSE PERAZA CIN
603,SDN,69614,606131,P,R,R,LUIS PERDOMO,LUIS PERDOMO SDN
604,ATL,59074,542208,C,R,R,CARLOS PEREZ,CARLOS PEREZ ATL
605,MIL,59021,541650,2B,R,R,HERNAN PEREZ,HERNAN PEREZ MIL
606,TEX,58533,527048,P,L,L,MARTIN PEREZ,MARTIN PEREZ TEX
607,CLE,59467,547379,C,R,R,ROBERTO PEREZ,ROBERTO PEREZ CLE
608,MIA,70921,596071,P,L,L,DILLON PETERS,DILLON PETERS MIA
609,NYA,69854,607054,2B,L,R,JACE PETERSON,JACE PETERSON NYA
610,OAK,45571,433589,P,R,R,YUSMEIRO PETIT,YUSMEIRO PETIT OAK
611,SLN,50106,502054,LF,R,R,TOMMY PHAM,TOMMY PHAM SLN
612,MIL,100628,621433,RF,L,R,BRETT PHILLIPS,BRETT PHILLIPS MIL
613,TOR,70093,607680,LF,R,R,KEVIN PILLAR,KEVIN PILLAR TOR
614,MIL,48685,444489,C,R,R,MANNY PINA,MANNY PINA MIL
615,OAK,102436,640461,SS,R,R,CHAD PINDER,CHAD PINDER OAK
616,SDN,57268,517369,2B,R,R,JOSE PIRELA,JOSE PIRELA SDN
617,OAK,100059,572039,RF,R,R,STEPHEN PISCOTTY,STEPHEN PISCOTTY OAK
618,PHI,102061,601713,P,R,R,NICK PIVETTA,NICK PIVETTA PHI
619,NYN,100316,608700,C,R,R,KEVIN PLAWECKI,KEVIN PLAWECKI NYN
620,PIT,66245,570256,RF,L,L,GREGORY POLANCO,GREGORY POLANCO PIT
621,ARI,60932,572041,CF,R,R,A.J. POLLOCK,A.J. POLLOCK ARI
622,BOS,57745,519144,P,R,R,RICK PORCELLO,RICK PORCELLO BOS
623,SFN,58548,457763,C,R,R,BUSTER POSEY,BUSTER POSEY SFN
624,OAK,100641,621471,CF,L,L,BOOG POWELL,BOOG POWELL OAK
625,BOS,106701,596074,P,L,L,BOBBY POYNER,BOBBY POYNER BOS
626,MIN,58552,519151,P,R,R,RYAN PRESSLY,RYAN PRESSLY MIN
627,BOS,54694,456034,P,L,L,DAVID PRICE,DAVID PRICE BOS
628,TEX,68066,595777,SS,B,R,JURICKSON PROFAR,JURICKSON PROFAR TEX
629,TBA,103484,643493,P,R,R,AUSTIN PRUITT,AUSTIN PRUITT TBA
630,LAN,101652,624577,RF,R,R,YASIEL PUIG,YASIEL PUIG LAN
631,ANA,204,405395,1B,R,R,ALBERT PUJOLS,ALBERT PUJOLS ANA
632,CIN,69154,534812,P,R,R,KEVIN QUACKENBUSH,KEVIN QUACKENBUSH CIN
633,CHN,51645,500779,P,R,L,JOSE QUINTANA,JOSE QUINTANA CHN
634,CIN,106709,663432,P,R,R,TANNER RAINEY,TANNER RAINEY CIN
635,BOS,31724,434670,SS,R,R,HANLEY RAMIREZ,HANLEY RAMIREZ BOS
636,ANA,51594,500724,P,R,R,J.C. RAMIREZ,J.C. RAMIREZ ANA
637,ATL,60812,542432,P,R,R,JOSE RAMIREZ,JOSE RAMIREZ ATL
638,CLE,70217,608070,SS,B,R,JOSE RAMIREZ,JOSE RAMIREZ CLE
639,ANA,68320,598287,P,R,R,NOE RAMIREZ,NOE RAMIREZ ANA
640,NYN,60504,573109,P,R,R,A.J. RAMOS,A.J. RAMOS NYN
641,PHI,66859,591693,P,R,R,EDUBRAY RAMOS,EDUBRAY RAMOS PHI
642,TBA,49829,467092,C,R,R,WILSON RAMOS,WILSON RAMOS TBA
643,BAL,46522,458675,CF,L,L,COLBY RASMUS,COLBY RASMUS BAL
644,ATL,50104,502051,P,R,R,JOSH RAVIN,JOSH RAVIN ATL
645,ARI,67083,592662,P,L,L,ROBBIE RAY,ROBBIE RAY ARI
646,MIA,67084,592663,C,R,R,J.T. REALMUTO,J.T. REALMUTO MIA
647,HOU,56609,502210,RF,L,R,JOSH REDDICK,JOSH REDDICK HOU
648,MIN,67085,592665,P,L,R,ADDISON REED,ADDISON REED MIN
649,CIN,102719,642003,P,L,L,CODY REED,CODY REED CIN
650,TBA,100317,608701,OF,R,R,ROB REFSNYDER,ROB REFSNYDER TBA
651,WAS,70755,543685,3B,R,R,ANTHONY RENDON,ANTHONY RENDON WAS
652,SDN,68660,592669,RF,R,R,HUNTER RENFROE,HUNTER RENFROE SDN
653,NYN,31511,408314,SS,B,R,JOSE REYES,JOSE REYES NYN
654,DET,101093,622682,RF,B,R,VICTOR REYES,VICTOR REYES DET
655,WAS,100318,608703,3B,R,R,MATT REYNOLDS,MATT REYNOLDS WAS
656,NYN,102722,642008,P,R,R,JACOB RHAME,JACOB RHAME NYN
657,SDN,48674,453385,P,L,L,CLAYTON RICHARD,CLAYTON RICHARD SDN
658,ANA,60655,572070,P,R,R,GARRETT RICHARDS,GARRETT RICHARDS ANA
659,MIA,109041,670950,P,R,R,TREVOR RICHARDS,TREVOR RICHARDS MIA
660,PHI,70481,605441,P,R,R,YACKSEL RIOS,YACKSEL RIOS PHI
661,ANA,41774,425784,C,R,R,RENE RIVERA,RENE RIVERA ANA
662,MIA,67093,592680,3B,R,R,YADIEL RIVERA,YADIEL RIVERA MIA
663,CHN,57514,519203,1B,L,L,ANTHONY RIZZO,ANTHONY RIZZO CHN
664,WAS,58921,543699,P,R,R,TANNER ROARK,TANNER ROARK WAS
665,TBA,100488,621002,3B,R,R,DANIEL ROBERTSON,DANIEL ROBERTSON TBA
666,NYA,57235,502085,P,R,R,DAVID ROBERTSON,DAVID ROBERTSON NYA
667,TEX,67094,592685,LF,L,R,DREW ROBINSON,DREW ROBINSON TEX
668,NYA,51936,453203,PH,R,R,SHANE ROBINSON,SHANE ROBINSON NYA
669,NYN,66336,570663,P,R,R,HANSEL ROBLES,HANSEL ROBLES NYN
670,MIN,1449,407845,P,R,R,FERNANDO RODNEY,FERNANDO RODNEY MIN
671,BOS,67588,593958,P,L,L,EDUARDO RODRIGUEZ,EDUARDO RODRIGUEZ BOS
672,PIT,67172,593144,P,R,R,RICHARD RODRIGUEZ,RICHARD RODRIGUEZ PIT
673,PIT,45471,446481,2B,R,R,SEAN RODRIGUEZ,SEAN RODRIGUEZ PIT
674,TBA,48658,475054,P,R,R,CHAZ ROE,CHAZ ROE TBA
675,MIN,99954,573124,P,L,L,TAYLOR ROGERS,TAYLOR ROGERS MIN
676,MIA,51611,500743,SS,R,R,MIGUEL ROJAS,MIGUEL ROJAS MIA
677,CIN,70957,607219,P,L,R,SAL ROMANO,SAL ROMANO CIN
678,WA,60841,544836,P,R,L,ENNY ROMERO,ENNY ROMERO WA
679,SEA,54877,461865,SS,B,R,ANDREW ROMINE,ANDREW ROMINE SEA
680,NYA,57520,519222,C,R,R,AUSTIN ROMINE,AUSTIN ROMINE NYA
681,TBA,49543,489265,P,R,R,SERGIO ROMO,SERGIO ROMO TBA
682,CHA,60936,541652,P,R,R,BRUCE RONDON,BRUCE RONDON CHA
683,HOU,52251,444468,P,R,R,HECTOR RONDON,HECTOR RONDON HOU
684,NYN,103203,642708,SS,R,R,AMED ROSARIO,AMED ROSARIO NYN
685,MIN,67098,592696,LF,L,R,EDDIE ROSARIO,EDDIE ROSARIO MIN
686,SDN,58617,475115,P,R,R,TYSON ROSS,TYSON ROSS SDN
687,TEX,69970,607387,LF,R,R,RYAN RUA,RYAN RUA TEX
688,COL,60031,543734,P,L,L,CHRIS RUSIN,CHRIS RUSIN COL
689,CHN,70633,608365,SS,R,R,ADDISON RUSSELL,ADDISON RUSSELL CHN
690,LAN,60787,547943,P,R,L,HYUN-JIN RYU,HYUN-JIN RYU LAN
691,SEA,57529,519240,P,L,L,MARC RZEPCZYNSKI,MARC RZEPCZYNSKI SEA
692,NYA,1117,282332,P,L,L,CC SABATHIA,CC SABATHIA NYA
693,CHA,66662,573135,2B,R,R,TYLER SALADINO,TYLER SALADINO CHA
694,ARI,48858,477569,P,R,R,FERNANDO SALAS,FERNANDO SALAS ARI
695,BOS,65751,519242,P,L,L,CHRIS SALE,CHRIS SALE BOS
696,TOR,67107,592717,P,R,R,AARON SANCHEZ,AARON SANCHEZ TOR
697,ATL,45578,434671,P,R,R,ANIBAL SANCHEZ,ANIBAL SANCHEZ ATL
698,NYA,68087,596142,C,R,R,GARY SANCHEZ,GARY SANCHEZ NYA
699,CHA,66288,570560,2B,B,R,YOLMER SANCHEZ,YOLMER SANCHEZ CHA
700,SFN,48901,467055,3B,B,R,PABLO SANDOVAL,PABLO SANDOVAL SFN
701,MIN,67574,593934,3B,R,R,MIGUEL SANO,MIGUEL SANO MIN
702,PHI,48929,467793,1B,B,R,CARLOS SANTANA,CARLOS SANTANA PHI
703,MIL,60423,570267,LF,R,R,DOMINGO SANTANA,DOMINGO SANTANA MIL
704,PIT,104420,650828,P,R,R,EDGAR SANTANA,EDGAR SANTANA PIT
705,BAL,101568,623993,RF,B,R,ANTHONY SANTANDER,ANTHONY SANTANDER BAL
706,CHA,56742,502327,P,R,L,HECTOR SANTIAGO,HECTOR SANTIAGO CHA
707,BAL,68088,596143,2B,B,R,LUIS SARDINAS,LUIS SARDINAS BAL
708,DET,100211,599683,P,R,R,WARWICK SAUPOLD,WARWICK SAUPOLD DET
709,CIN,67866,594988,RF,L,R,SCOTT SCHEBLER,SCOTT SCHEBLER CIN
710,WAS,56753,453286,P,R,R,MAX SCHERZER,MAX SCHERZER WAS
711,ANA,60669,572114,3B,L,R,RYAN SCHIMPF,RYAN SCHIMPF ANA
712,BAL,66391,570731,2B,R,R,JONATHAN SCHOOP,JONATHAN SCHOOP BAL
713,CHN,103751,656941,LF,L,R,KYLE SCHWARBER,KYLE SCHWARBER CHN
714,BAL,104899,656945,P,R,L,TANNER SCOTT,TANNER SCOTT BAL
715,LAN,70635,608369,SS,L,R,COREY SEAGER,COREY SEAGER LAN
716,SEA,60672,572122,3B,L,R,KYLE SEAGER,KYLE SEAGER SEA
717,SEA,56761,516416,SS,R,R,JEAN SEGURA,JEAN SEGURA SEA
718,OAK,70327,543760,3B,R,R,MARCUS SEMIEN,MARCUS SEMIEN OAK
719,COL,101060,622608,P,R,R,ANTONIO SENZATELA,ANTONIO SENZATELA COL
720,NYA,101074,622663,P,R,R,LUIS SEVERINO,LUIS SEVERINO NYA
721,WAS,69314,600474,C,R,R,PEDRO SEVERINO,PEDRO SEVERINO WAS
722,NYN,101231,623149,P,R,R,PAUL SEWALD,PAUL SEWALD NYN
723,COL,58661,543766,P,B,R,BRYAN SHAW,BRYAN SHAW COL
724,MIL,69188,543768,3B,L,R,TRAVIS SHAW,TRAVIS SHAW MIL
725,SLN,68960,595411,P,L,L,RYAN SHERRIFF,RYAN SHERRIFF SLN
726,CHA,42750,448306,P,R,R,JAMES SHIELDS,JAMES SHIELDS CHA
727,ANA,58667,533167,P,R,R,MATT SHOEMAKER,MATT SHOEMAKER ANA
728,NYA,67118,592741,P,L,L,CHASEN SHREVE,CHASEN SHREVE NYA
729,MIA,58670,543776,LF,L,L,J.B. SHUCK,J.B. SHUCK MIA
730,WAS,51727,501213,RF,R,R,MOISES SIERRA,MOISES SIERRA WAS
731,ANA,67119,592743,SS,R,R,ANDRELTON SIMMONS,ANDRELTON SIMMONS ANA
732,HOU,46630,448609,P,L,L,TONY SIPP,TONY SIPP HOU
733,BAL,102743,642082,C,L,R,CHANCE SISCO,CHANCE SISCO BAL
734,ANA,61000,572140,P,L,L,TYLER SKAGGS,TYLER SKAGGS ANA
735,KCA,70881,607215,P,L,L,ERIC SKOGLUND,ERIC SKOGLUND KCA
736,KCA,68471,572143,P,R,R,BURCH SMITH,BURCH SMITH KCA
737,MIA,102044,592761,P,R,L,CALEB SMITH,CALEB SMITH MIA
738,BOS,70812,605476,P,R,R,CARSON SMITH,CARSON SMITH BOS
739,HOU,51129,501925,P,R,R,JOE SMITH,JOE SMITH HOU
740,TBA,70851,605480,CF,L,R,MALLEX SMITH,MALLEX SMITH TBA
741,TOR,58692,475253,1B,B,L,JUSTIN SMOAK,JUSTIN SMOAK TOR
742,PIT,57550,519294,P,L,L,JOSH SMOKER,JOSH SMOKER PIT
743,OAK,56792,519295,LF,R,R,JAKE SMOLINSKI,JAKE SMOLINSKI OAK
744,TBA,70271,605483,P,L,L,BLAKE SNELL,BLAKE SNELL TBA
745,TBA,48762,474319,1B,R,R,BRANDON SNYDER,BRANDON SNYDER TBA
746,ATL,52152,462515,P,R,R,MIGUEL SOCOLOVICH,MIGUEL SOCOLOVICH ATL
747,MIL,57552,519299,2B,L,R,ERIC SOGARD,ERIC SOGARD MIL
748,TOR,51557,500208,3B,B,R,YANGERVIS SOLARTE,YANGERVIS SOLARTE TOR
749,KCA,101657,624585,RF,R,R,JORGE SOLER,JORGE SOLER KCA
750,WAS,65913,519301,P,R,L,SAMMY SOLIS,SAMMY SOLIS WAS
751,CHA,46711,465657,P,R,R,JOAKIM SORIA,JOAKIM SORIA CHA
752,TBA,46626,452655,CF,L,L,DENARD SPAN,DENARD SPAN TBA
753,SDN,69578,605486,3B,L,R,CORY SPANGENBERG,CORY SPANGENBERG SDN
754,HOU,65992,543807,RF,R,R,GEORGE SPRINGER,GEORGE SPRINGER HOU
755,SDN,46755,489334,P,R,R,CRAIG STAMMEN,CRAIG STAMMEN SDN
756,NYA,57556,519317,RF,R,R,GIANCARLO STANTON,GIANCARLO STANTON NYA
757,HOU,59431,545358,C,R,R,MAX STASSI,MAX STASSI HOU
758,MIA,100322,608716,P,R,R,DREW STECKENRIDER,DREW STECKENRIDER MIA
759,CIN,101446,623451,P,R,R,JACKSON STEPHENS,JACKSON STEPHENS CIN
760,WAS,106961,664057,CF,L,L,ANDREW STEVENSON,ANDREW STEVENSON WAS
761,ATL,43258,455755,C,R,R,CHRIS STEWART,CHRIS STEWART ATL
762,COL,70406,596115,SS,R,R,TREVOR STORY,TREVOR STORY COL
763,WAS,61056,544931,P,R,R,STEPHEN STRASBURG,STEPHEN STRASBURG WAS
764,SFN,100323,608717,P,R,R,CHRIS STRATTON,CHRIS STRATTON SFN
765,SFN,57557,519326,P,R,R,HUNTER STRICKLAND,HUNTER STRICKLAND SFN
766,LAN,70826,548389,P,R,R,ROSS STRIPLING,ROSS STRIPLING LAN
767,TOR,70371,573186,P,R,R,MARCUS STROMAN,MARCUS STROMAN TOR
768,CHN,46719,467008,P,R,R,PEDRO STROP,PEDRO STROP CHN
769,DET,100613,621385,P,L,L,DANIEL STUMPF,DANIEL STUMPF DET
770,SFN,70827,605498,P,L,L,ANDREW SUAREZ,ANDREW SUAREZ SFN
771,CIN,66110,553993,SS,R,R,EUGENIO SUAREZ,EUGENIO SUAREZ CIN
772,TBA,51184,491696,C,R,R,JESUS SUCRE,JESUS SUCRE TBA
773,MIL,100324,608718,P,L,L,BRENT SUTER,BRENT SUTER MIL
774,SEA,1184,400085,RF,L,R,ICHIRO SUZUKI,ICHIRO SUZUKI SEA
775,ATL,49076,435559,C,R,R,KURT SUZUKI,KURT SUZUKI ATL
776,ATL,107168,621020,SS,R,R,DANSBY SWANSON,DANSBY SWANSON ATL
777,NYN,46761,461872,P,R,R,ANTHONY SWARZAK,ANTHONY SWARZAK NYN
778,BOS,70407,596119,C,B,R,BLAKE SWIHART,BLAKE SWIHART BOS
779,NYN,67132,592789,P,L,R,NOAH SYNDERGAARD,NOAH SYNDERGAARD NYN
780,SDN,65918,519333,RF,R,R,MATT SZCZUR,MATT SZCZUR SDN
781,PIT,68694,592791,P,R,R,JAMESON TAILLON,JAMESON TAILLON PIT
782,NYA,59473,547888,P,R,R,MASAHIRO TANAKA,MASAHIRO TANAKA NYA
783,COL,103523,643565,CF,L,L,MICHAEL TAUCHMAN,MICHAEL TAUCHMAN COL
784,LAN,100496,621035,SS,R,R,CHRIS TAYLOR,CHRIS TAYLOR LAN
785,WAS,66594,572191,CF,R,R,MICHAEL TAYLOR,MICHAEL TAYLOR WAS
786,MIA,58984,547749,P,R,R,JUNICHI TAZAWA,JUNICHI TAZAWA MIA
787,ATL,58731,527054,P,R,R,JULIO TEHERAN,JULIO TEHERAN ATL
788,MIA,59818,542513,C,B,R,TOMAS TELIS,TOMAS TELIS MIA
789,TOR,60107,572193,P,R,R,RYAN TEPERA,RYAN TEPERA TOR
